model,model_id,C,penalty,solver,accuracy,precision_macro,recall_macro,f1_macro,precision_weighted,recall_weighted,f1_weighted,precision__Impolite,recall__Impolite,f1__Impolite,support__Impolite,precision__Neutral,recall__Neutral,f1__Neutral,support__Neutral,precision__Polite,recall__Polite,f1__Polite,support__Polite
MarBERT-Triplet-Matryoshka,Omartificial-Intelligence-Space/Marbert-all-nli-triplet-Matryoshka,0.5,l1,liblinear,0.8744588744588745,0.7794747512176466,0.8166219166632352,0.7967546227014397,0.8797551797535151,0.8744588744588745,0.8765550406316303,0.6417910447761194,0.7288135593220338,0.6825396825396826,59,0.9324055666003976,0.9036608863198459,0.9178082191780822,519,0.7642276422764228,0.8173913043478261,0.7899159663865546,115
UBC-NLP/MARBERTv2,UBC-NLP/MARBERTv2,2.0,l2,liblinear,0.84992784992785,0.7404470419059278,0.7693847501643516,0.7534316175687045,0.8559830321671928,0.84992784992785,0.8524933871704604,0.5428571428571428,0.6440677966101694,0.5891472868217055,59,0.9112426035502958,0.8901734104046243,0.9005847953216374,519,0.7672413793103449,0.7739130434782608,0.7705627705627706,115
GATE-AraBert-v1,Omartificial-Intelligence-Space/GATE-AraBert-v1,0.25,l1,liblinear,0.834054834054834,0.7055227479953302,0.7232499814231873,0.7139194384134725,0.838413320367458,0.834054834054834,0.8360595415197878,0.49230769230769234,0.5423728813559322,0.5161290322580645,59,0.903921568627451,0.8882466281310212,0.8960155490767736,519,0.7203389830508474,0.7391304347826086,0.7296137339055794,115
Arabic-all-nli-Triplet-Matryoshka,Omartificial-Intelligence-Space/Arabic-all-nli-triplet-Matryoshka,2.0,l2,liblinear,0.836940836940837,0.7104812316018503,0.7172707562158962,0.7138193918289208,0.8383252389587754,0.836940836940837,0.8375999858475549,0.5166666666666667,0.5254237288135594,0.5210084033613446,59,0.9029126213592233,0.8959537572254336,0.8994197292069632,519,0.711864406779661,0.7304347826086957,0.721030042918455,115
Arabic-Triplet-Matryoshka-V2,Omartificial-Intelligence-Space/Arabic-Triplet-Matryoshka-V2,0.25,l2,liblinear,0.8282828282828283,0.6957671957671957,0.720186061569,0.7072280079097698,0.8340662864472388,0.8282828282828283,0.8307342990033596,0.49206349206349204,0.5254237288135594,0.5081967213114754,59,0.9047619047619048,0.8786127167630058,0.8914956011730205,519,0.6904761904761905,0.7565217391304347,0.7219917012448133,115
